timestamp, q0, q1, q2, q3
1540674788818, 0.829102, -0.206299, -0.108887, 0.481201
1540674788819, 0.829102, -0.281372, -0.108887, 0.481201
1540674788820, 0.829102, -0.281372, -0.149231, 0.481201
1540674788820, 0.829102, -0.281372, -0.149231, 0.459412
1540674788870, 0.816162, -0.281372, -0.149231, 0.459412
1540674788870, 0.816162, -0.331665, -0.149231, 0.459412
1540674788871, 0.816162, -0.331665, -0.196472, 0.459412
1540674788871, 0.816162, -0.331665, -0.196472, 0.430420
1540674788930, 0.787231, -0.331665, -0.196472, 0.430420
1540674788931, 0.787231, -0.413208, -0.196472, 0.430420
1540674788931, 0.787231, -0.413208, -0.217712, 0.430420
1540674788932, 0.787231, -0.413208, -0.217712, 0.402588
1540674788990, 0.751465, -0.413208, -0.217712, 0.402588
1540674788991, 0.751465, -0.489197, -0.217712, 0.402588
1540674788991, 0.751465, -0.489197, -0.267395, 0.402588
1540674788992, 0.751465, -0.489197, -0.267395, 0.352661
1540674789020, 0.708191, -0.489197, -0.267395, 0.352661
1540674789020, 0.708191, -0.556763, -0.267395, 0.352661
1540674789021, 0.708191, -0.556763, -0.307495, 0.352661
1540674789025, 0.708191, -0.556763, -0.307495, 0.306519
1540674789082, 0.659546, -0.556763, -0.307495, 0.306519
1540674789083, 0.659546, -0.608032, -0.307495, 0.306519
1540674789084, 0.659546, -0.608032, -0.369507, 0.306519
1540674789084, 0.659546, -0.608032, -0.369507, 0.242371
1540674789140, 0.608032, -0.608032, -0.369507, 0.242371
1540674789141, 0.608032, -0.652588, -0.369507, 0.242371
1540674789141, 0.608032, -0.652588, -0.415894, 0.242371
1540674789142, 0.608032, -0.652588, -0.415894, 0.177307
1540674789200, 0.548340, -0.652588, -0.415894, 0.177307
1540674789200, 0.548340, -0.687744, -0.415894, 0.177307
1540674789201, 0.548340, -0.687744, -0.460571, 0.177307
1540674789202, 0.548340, -0.687744, -0.460571, 0.119019
1540674789260, 0.477966, -0.687744, -0.460571, 0.119019
1540674789260, 0.477966, -0.730591, -0.460571, 0.119019
1540674789261, 0.477966, -0.730591, -0.483032, 0.119019
1540674789262, 0.477966, -0.730591, -0.483032, 0.067139
1540674789321, 0.397827, -0.730591, -0.483032, 0.067139
1540674789322, 0.397827, -0.763062, -0.483032, 0.067139
1540674789323, 0.397827, -0.763062, -0.507996, 0.067139
1540674789325, 0.397827, -0.763062, -0.507996, 0.037903
1540674789351, 0.326965, -0.763062, -0.507996, 0.037903
1540674789352, 0.326965, -0.776306, -0.507996, 0.037903
1540674789352, 0.326965, -0.776306, -0.538879, 0.037903
1540674789353, 0.326965, -0.776306, -0.538879, -0.010071
1540674789411, 0.235901, -0.776306, -0.538879, -0.010071
1540674789419, 0.235901, -0.785889, -0.538879, -0.010071
1540674789420, 0.235901, -0.785889, -0.567993, -0.010071
1540674789422, 0.235901, -0.785889, -0.567993, -0.065125
1540674789470, 0.171143, -0.785889, -0.567993, -0.065125
1540674789471, 0.171143, -0.789124, -0.567993, -0.065125
1540674789471, 0.171143, -0.789124, -0.577332, -0.065125
1540674789471, 0.171143, -0.789124, -0.577332, -0.121338
1540674789530, 0.046021, -0.789124, -0.577332, -0.121338
1540674789531, 0.046021, -0.788513, -0.577332, -0.121338
1540674789531, 0.046021, -0.788513, -0.589294, -0.121338
1540674789532, 0.046021, -0.788513, -0.589294, -0.170227
1540674789592, -0.025940, -0.788513, -0.589294, -0.170227
1540674789593, -0.025940, -0.782349, -0.589294, -0.170227
1540674789593, -0.025940, -0.782349, -0.586853, -0.170227
1540674789595, -0.025940, -0.782349, -0.586853, -0.207275
1540674789655, -0.086487, -0.782349, -0.586853, -0.207275
1540674789656, -0.086487, -0.769043, -0.586853, -0.207275
1540674789657, -0.086487, -0.769043, -0.583130, -0.207275
1540674789659, -0.086487, -0.769043, -0.583130, -0.247253
1540674789682, -0.144287, -0.769043, -0.583130, -0.247253
1540674789684, -0.144287, -0.752258, -0.583130, -0.247253
1540674789685, -0.144287, -0.752258, -0.576294, -0.247253
1540674789685, -0.144287, -0.752258, -0.576294, -0.285156
1540674789740, -0.173645, -0.752258, -0.576294, -0.285156
1540674789741, -0.173645, -0.732666, -0.576294, -0.285156
1540674789741, -0.173645, -0.732666, -0.571106, -0.285156
1540674789741, -0.173645, -0.732666, -0.571106, -0.327148
1540674789800, -0.167969, -0.732666, -0.571106, -0.327148
1540674789801, -0.167969, -0.723816, -0.571106, -0.327148
1540674789801, -0.167969, -0.723816, -0.564087, -0.327148
1540674789802, -0.167969, -0.723816, -0.564087, -0.360168
1540674789861, -0.213135, -0.723816, -0.564087, -0.360168
1540674789862, -0.213135, -0.704407, -0.564087, -0.360168
1540674789863, -0.213135, -0.704407, -0.553223, -0.360168
1540674789864, -0.213135, -0.704407, -0.553223, -0.390381
1540674789921, -0.208130, -0.704407, -0.553223, -0.390381
1540674789922, -0.208130, -0.709106, -0.553223, -0.390381
1540674789923, -0.208130, -0.709106, -0.540710, -0.390381
1540674789925, -0.208130, -0.709106, -0.540710, -0.401978
1540674789987, -0.248657, -0.709106, -0.540710, -0.401978
1540674789987, -0.248657, -0.692566, -0.540710, -0.401978
1540674789988, -0.248657, -0.692566, -0.523560, -0.401978
1540674789990, -0.248657, -0.692566, -0.523560, -0.429565
1540674790010, -0.262329, -0.692566, -0.523560, -0.429565
1540674790010, -0.262329, -0.673218, -0.523560, -0.429565
1540674790011, -0.262329, -0.673218, -0.513245, -0.429565
1540674790016, -0.262329, -0.673218, -0.513245, -0.463379
1540674790070, -0.296936, -0.673218, -0.513245, -0.463379
1540674790070, -0.296936, -0.648682, -0.513245, -0.463379
1540674790071, -0.296936, -0.648682, -0.487305, -0.463379
1540674790071, -0.296936, -0.648682, -0.487305, -0.503662
1540674790130, -0.309021, -0.648682, -0.487305, -0.503662
1540674790130, -0.309021, -0.635864, -0.487305, -0.503662
1540674790131, -0.309021, -0.635864, -0.479126, -0.503662
1540674790132, -0.309021, -0.635864, -0.479126, -0.520264
1540674790190, -0.325500, -0.635864, -0.479126, -0.520264
1540674790191, -0.325500, -0.624329, -0.479126, -0.520264
1540674790191, -0.325500, -0.624329, -0.469238, -0.520264
1540674790192, -0.325500, -0.624329, -0.469238, -0.533081
1540674790251, -0.348511, -0.624329, -0.469238, -0.533081
1540674790251, -0.348511, -0.601074, -0.469238, -0.533081
1540674790252, -0.348511, -0.601074, -0.453430, -0.533081
1540674790252, -0.348511, -0.601074, -0.453430, -0.558350
1540674790310, -0.384644, -0.601074, -0.453430, -0.558350
1540674790311, -0.384644, -0.570312, -0.453430, -0.558350
1540674790313, -0.384644, -0.570312, -0.440735, -0.558350
1540674790316, -0.384644, -0.570312, -0.440735, -0.576721
1540674790341, -0.421753, -0.570312, -0.440735, -0.576721
1540674790341, -0.421753, -0.526917, -0.440735, -0.576721
1540674790342, -0.421753, -0.526917, -0.417969, -0.576721
1540674790343, -0.421753, -0.526917, -0.417969, -0.608215
1540674790400, -0.441650, -0.526917, -0.417969, -0.608215
1540674790401, -0.441650, -0.492798, -0.417969, -0.608215
1540674790401, -0.441650, -0.492798, -0.385254, -0.608215
1540674790402, -0.441650, -0.492798, -0.385254, -0.643250
1540674790460, -0.445435, -0.492798, -0.385254, -0.643250
1540674790461, -0.445435, -0.492371, -0.385254, -0.643250
1540674790462, -0.445435, -0.492371, -0.383606, -0.643250
1540674790462, -0.445435, -0.492371, -0.383606, -0.641968
1540674790521, -0.465576, -0.492371, -0.383606, -0.641968
1540674790522, -0.465576, -0.471985, -0.383606, -0.641968
1540674790523, -0.465576, -0.471985, -0.360901, -0.641968
1540674790525, -0.465576, -0.471985, -0.360901, -0.656006
1540674790587, -0.497253, -0.471985, -0.360901, -0.656006
1540674790588, -0.497253, -0.455872, -0.360901, -0.656006
1540674790589, -0.497253, -0.455872, -0.347412, -0.656006
1540674790590, -0.497253, -0.455872, -0.347412, -0.651428
1540674790641, -0.489014, -0.455872, -0.347412, -0.651428
1540674790643, -0.489014, -0.465820, -0.347412, -0.651428
1540674790643, -0.489014, -0.465820, -0.314880, -0.651428
1540674790655, -0.489014, -0.465820, -0.314880, -0.666992
1540674790671, -0.496765, -0.465820, -0.314880, -0.666992
1540674790671, -0.496765, -0.473877, -0.314880, -0.666992
1540674790671, -0.496765, -0.473877, -0.313538, -0.666992
1540674790671, -0.496765, -0.473877, -0.313538, -0.656128
1540674790730, -0.509705, -0.473877, -0.313538, -0.656128
1540674790731, -0.509705, -0.457397, -0.313538, -0.656128
1540674790731, -0.509705, -0.457397, -0.289856, -0.656128
1540674790732, -0.509705, -0.457397, -0.289856, -0.668701
1540674790790, -0.534302, -0.457397, -0.289856, -0.668701
1540674790791, -0.534302, -0.450134, -0.289856, -0.668701
1540674790791, -0.534302, -0.450134, -0.292969, -0.668701
1540674790792, -0.534302, -0.450134, -0.292969, -0.652832
1540674790852, -0.552917, -0.450134, -0.292969, -0.652832
1540674790852, -0.552917, -0.436523, -0.292969, -0.652832
1540674790853, -0.552917, -0.436523, -0.274231, -0.652832
1540674790854, -0.552917, -0.436523, -0.274231, -0.654724
1540674790910, -0.567444, -0.436523, -0.274231, -0.654724
1540674790910, -0.567444, -0.413513, -0.274231, -0.654724
1540674790911, -0.567444, -0.413513, -0.257568, -0.654724
1540674790912, -0.567444, -0.413513, -0.257568, -0.663940
1540674790970, -0.594055, -0.413513, -0.257568, -0.663940
1540674790970, -0.594055, -0.375427, -0.257568, -0.663940
1540674790971, -0.594055, -0.375427, -0.253174, -0.663940
1540674790971, -0.594055, -0.375427, -0.253174, -0.664978
1540674791000, -0.596375, -0.375427, -0.253174, -0.664978
1540674791000, -0.596375, -0.375549, -0.253174, -0.664978
1540674791001, -0.596375, -0.375549, -0.239197, -0.664978
1540674791002, -0.596375, -0.375549, -0.239197, -0.668030
1540674791061, -0.617249, -0.375549, -0.239197, -0.668030
1540674791062, -0.617249, -0.353027, -0.239197, -0.668030
1540674791062, -0.617249, -0.353027, -0.222107, -0.668030
